School Building Code,School Name,School Type,Address,City,State,Zip,District Name,County,Grade Levels,Number of K-12 (All Grades) Students Enrolled ,Number of K-12 (All Grades) Students Complete,Number of K-12 (All Grades) Students with any Exemption,Number of K-12 (All Grades) Students with Medical Exemption,Number of K-12 (All Grades) Students with Personal Exemption,Number of K-12 (All Grades) Students with Religious Exemption,Number of K-12 (All Grades) Students with Religious Membership Exemption,Number of K-12 (All Grades) Students Exempt for Diphtheria Tetanus,Number of K-12 (All Grades) Students Exempt for Pertussis,Number of K-12 (All Grades) Students Exempt for Polio,Number of K-12 (All Grades) Students Exempt for MMR,Number of K-12 (All Grades) Students Exempt for Hep B,Number of K-12 (All Grades) Students Exempt for Varicella
1519,Edmonds Independent Learning,Public School,20420 68TH AVE W,Lynnwood,WA,98036,Edmonds School District,SNOHOMISH,7-12,94,43,5,0,4,1,0,3,3,2,4,4,0
3123,Edmonds Woodway High School,Public School,7600  212TH STREET SW,Edmonds,WA,98026,Edmonds School District,SNOHOMISH,9-12,1653,1521,80,11,68,3,0,58,51,38,48,43,0
3607,Hazelwood Elementary,Public School,3300 204TH ST SW,Lynnwood,WA,98036,Edmonds School District,SNOHOMISH,K -6,503,459,37,8,29,1,0,20,19,21,21,20,23
3689,Hilltop Elementary,Public School,20425 DAMSON ROAD,Lynnwood,WA,98036,Edmonds School District,SNOHOMISH,K -6,540,489,45,15,28,3,0,21,20,20,23,21,35
3122,Lynndale Elementary,Public School,7200 191ST PL SW,Lynnwood,WA,98036,Edmonds School District,SNOHOMISH,K -6,437,416,14,3,11,0,1,11,11,8,6,5,8
3503,Lynnwood Elementary,Public School,18638 44TH AVE W,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,K -6,587,506,36,4,29,4,0,21,21,22,22,18,33
3463,Madrona Nongraded,Public School,9300 236TH ST SW,Edmonds,WA,98020,Edmonds School District,SNOHOMISH,PK-8,648,567,54,5,42,7,0,25,24,30,28,34,27
3818,Maplewood Center,Public School,20100 84TH AVE W,Edmonds,WA,98020,Edmonds School District,SNOHOMISH,K -12,39,32,6,1,5,0,0,3,3,3,3,1,2
1685,Maplewood Parent Coop,Public School,8500 200TH ST SW,Edmonds,WA,98026,Edmonds School District,SNOHOMISH,K -8,482,439,35,2,32,1,0,11,10,13,13,17,14
2887,Martha Lake Elementary,Public School,17500 LARCH WAY,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,K -6,568,521,36,9,28,0,0,15,13,15,16,20,28
3504,Meadowdale Elementary School,Public School,6505 168TH ST SW,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,K -6,510,476,31,1,27,3,0,18,16,23,21,21,28
3464,Meadowdale High School,Public School,6002 168TH ST SW,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,9-12,1558,1430,51,4,46,2,0,30,16,33,32,37,0
3353,Meadowdale Middle School,Public School,6500 168TH ST SW,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,7-8,741,703,23,4,17,2,0,14,11,15,17,17,0
3254,Mountlake Terrace Elementary,Public School,22001 52ND AVE W,Mountlake Terrace,WA,98043,Edmonds School District,SNOHOMISH,K -6,464,429,19,3,10,4,2,12,11,13,12,11,14
3303,Mountlake Terrace High School,Public School,21801 44TH AVE W,Mountlake Terrace,WA,98043,Edmonds School District,SNOHOMISH,9-12,1250,1183,63,3,56,4,0,42,38,29,39,34,0
3608,Oak Heights Elementary,Public School,15500 18TH AVE W,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,K -6,547,524,18,3,13,1,1,8,8,9,13,6,12
3854,Scriber Lake High School,Public School,23200 100th AVE W,Edmonds,WA,98020,Edmonds School District,SNOHOMISH,9-12,319,179,16,0,16,0,0,7,5,4,11,11,0
3461,Seaview Elementary,Public School,8426 188TH ST SW,Edmonds,WA,98020,Edmonds School District,SNOHOMISH,K -6,347,322,24,5,20,0,0,17,17,18,18,16,21
3605,Sherwood Elementary,Public School,22901 106TH AVE W,Edmonds,WA,98020,Edmonds School District,SNOHOMISH,K -6,423,383,26,4,19,3,0,13,13,10,15,11,17
1830,Special Education Contracted,Public School,20420 68TH AVE W,Lynnwood,WA,98036,Edmonds School District,SNOHOMISH,P-12,21,9,2,0,2,0,0,0,0,0,2,0,0
3410,Spruce Elementary,Public School,17405 42ND AVE W,Lynnwood,WA,98037,Edmonds School District,SNOHOMISH,K -6,534,504,26,1,21,2,4,21,19,21,22,14,21
2888,Terrace Park Elementary,Public School,5409 228TH ST SW,Mountlake Terrace,WA,98043,Edmonds School District,SNOHOMISH,K -6,346,318,18,3,13,2,0,9,9,9,9,12,16
1558,Unassigned Special Education,Public School,20420 68TH AVE W,Lynnwood,WA,98036,Edmonds School District,SNOHOMISH,P-12,33,5,0,0,0,0,0,0,0,0,0,0,0
3186,Westgate Elementary,Public School,9601 220TH ST SW,Edmonds,WA,98020,Edmonds School District,SNOHOMISH,K -6,459,425,29,2,26,1,0,20,19,22,21,22,23
8941,Ellensburg Christian School,Private School,407 S Anderson St,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,K-8,95,83,12,0,12,0,0,9,9,8,8,9,9
2996,Ellensburg High School,Public School,1203 E Capitol,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,9-12,916,848,25,0,24,1,1,18,15,18,19,19,0
5186,Excel High School,Public School,400 East University Way,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,9-12,34,21,3,0,3,0,0,2,2,2,3,2,0
5097,K-12 Ellensburg Learning Center,Public School,210 N Ruby Street,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,PK-12,19,9,1,1,0,0,0,0,0,0,1,0,0
2741,Lincoln Elementary,Public School,200 S. Sampson,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,K -5,489,406,35,7,24,4,0,20,21,19,23,22,26
2453,Morgan Middle School,Public School,400 E First,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,6-8,682,625,20,1,19,0,0,12,11,10,9,13,5
3596,Mt. Stuart Elementary,Public School,705 W. 15th,Ellensburg,WA,98926,Ellensburg School District,KITTITAS,K -5,463,375,19,3,16,0,0,5,5,7,9,9,16
4411,Valley View Elementary School,Public School,1508 E 3rd,Ellensburg,WA,98936,Ellensburg School District,KITTITAS,K -5,466,430,22,6,17,1,0,5,5,7,9,10,14
1629,East Grays Harbor High School,Public School,1235 Monte-Elma Rd,Elma,WA,98541,Elma School District,GRAYS HARBOR,9-12,35,21,1,0,1,0,0,1,1,1,1,0,0
3217,Elma Elementary School,Public School,1235 Monte-Elma Rd,Elma,WA,98541,Elma School District,GRAYS HARBOR,PK-5,605,561,48,3,45,0,0,22,22,16,18,12,38
2137,Elma High School,Public School,1235 Elma-Monte Rd,Elma,WA,98541,Elma School District,GRAYS HARBOR,9-12,574,453,32,0,29,3,0,26,23,14,18,17,0
4245,Elma Middle School,Public School,1235 Monte-Elma Rd.,Elma,WA,98541,Elma School District,GRAYS HARBOR,6-8,320,261,29,2,24,3,0,23,22,13,15,10,7
2207,Endicott/St John Elem and Middle,Public School,308 School Dr,Endicott,WA,99125,Endicott School District,WHITMAN,K -8,96,91,5,0,5,0,0,5,5,4,4,4,4
3317,Entiat Middle and High School,Public School,2650 ENTIAT WAY,Entiat,WA,98822,Entiat School District,CHELAN,6-12,208,160,6,1,5,0,0,4,4,2,4,2,0
2688,Paul Rumburg Elementary,Public School,2650 ENTIAT WAY,Entiat,WA,98822,Entiat School District,CHELAN,PK-5,157,139,5,2,4,0,0,4,4,4,4,4,4
1439,Cedar River Academy,Private School,1640 Fell St,Enumclaw,WA,98022,Enumclaw School District,KING,P-8,37,37,0,0,0,0,0,0,0,0,0,0,0
8124,Cascade Independent High School,Private School,1849 Marshall Ave,Enumclaw,WA,98022,Enumclaw School District,KING,5-12,,,,,,,,,,,,,
3430,Black Diamond Elementary,Public School,25314 Baker Street,Black Diamond,WA,98010,Enumclaw School District,KING,K -5,285,252,26,7,19,0,0,10,10,11,12,13,18
2980,Byron Kibler Elementary School,Public School,2057 Kibler Ave,Enumclaw,WA,98022,Enumclaw School District,KING,K -5,417,395,20,7,13,0,0,8,8,7,8,14,12
3330,Enumclaw High School,Public School,226 Semanski St South,Enumclaw,WA,98022,Enumclaw School District,KING,9-12,1386,1198,80,7,65,8,0,58,54,37,51,35,0
4289,Sunrise Elementary,Public School,899 Osceola At 244th Ave SE,Enumclaw,WA,98022,Enumclaw School District,KING,K -5,412,360,25,2,24,0,0,16,16,17,18,17,22
4550,Thunder Mountain Middle School,Public School,42018 264th Avenue SE,Enumclaw,WA,98022,Enumclaw School District,KING,6-8,488,433,40,10,33,0,0,25,23,26,23,25,9
3585,Westwood Elementary School,Public School,21200 SE 416th,Enumclaw,WA,98022,Enumclaw School District,KING,PK-5,305,250,37,4,32,1,0,19,20,20,24,21,34
4210,Enumclaw Middle School,Public School,550 Semanski Street,Enumclaw,WA,98022,Enumclaw School District,KING,6-8,,,,,,,,,,,,,
1986,Muckleshoot Tribal School,Public School,39015 172nd Avenue Southeast,Auburn,WA,98092,Enumclaw School District,KING,K -12,,,,,,,,,,,,,
1523,Special Ed School,Public School,2929 McDougall Avenue,Enumclaw,WA,98022,Enumclaw School District,KING,PK-12,,,,,,,,,,,,,
3739,Southwood Elementary School,Public School,3240 McDougall Avenue,Enumclaw,WA,98022,Enumclaw School District,KING,PK-5,279,251,20,5,14,1,0,6,6,6,5,7,16
8605,New Life Christian School,Private School,911 E Division,Ephrata,WA,98823,Ephrata School District,GRANT,P-12,,,,,,,,,,,,,
8021,St. Rose of Lima School,Private School,520 Nat Washington Way,Ephrata,WA,98823,Ephrata School District,GRANT,P-6,86,80,5,1,0,4,0,4,4,4,5,4,4
4229,Beezley Springs Elementary,Public School,501 C ST NW,Ephrata,WA,98823,Ephrata School District,GRANT,PK-1,7,7,0,0,0,0,0,0,0,0,0,0,0
2793,Columbia Ridge Elementary,Public School,60 H SE,Ephrata,WA,98823,Ephrata School District,GRANT,K -4,469,435,6,0,5,1,0,5,5,5,5,4,5
2920,Ephrata High School,Public School,333 4TH AVE NW,Ephrata,WA,98823,Ephrata School District,GRANT,9-12,684,642,24,3,18,3,0,18,16,14,14,13,0
3373,Ephrata Middle School,Public School,"384 ""A"" SE",Ephrata,WA,98823,Ephrata School District,GRANT,7-8,360,313,16,0,9,7,0,14,14,13,10,12,0
3092,Grant Elementary,Public School,451 3RD NW,Ephrata,WA,98823,Ephrata School District,GRANT,K -4,417,391,16,1,11,4,0,10,10,10,13,10,10
2695,Parkway School,Public School,1011 PARKWAY BLVD,Ephrata,WA,98823,Ephrata School District,GRANT,5-6,340,254,15,1,13,2,0,12,11,12,8,9,8
1971,Sage Hills High School,Public School,35 K ST SE,Ephrata,WA,98823,Ephrata School District,GRANT,8-12,48,44,2,0,2,0,0,2,2,1,2,2,0
2355,Evaline Elementary School,Public School,111 Schoolhouse Road,Winlock,WA,98596,Evaline School District,LEWIS,K -6,,,,,,,,,,,,,
8537,Cedar Park Christian School--Mill Creek (Everett) Campus ,Private School,13000 21st Dr SE,Everett,WA,98208,Everett School District,SNOHOMISH,P-8,145,113,32,0,32,0,0,31,28,21,23,19,28
8157,Immaculate Conception/Our Lady of Perpetual Help,Private School,2508 Hoyt Ave,Everett,WA,98201,Everett School District,SNOHOMISH,P-8,227,213,14,0,14,0,0,0,0,0,1,0,13
800X,Light of Faith Christian Academy,Private School,18008 Bothell-Everett Hwy #H,Bothell,WA,98012,Everett School District,SNOHOMISH,P-12,18,18,0,0,0,0,0,0,0,0,0,0,0
8892,Montessori Schools of Snohomish Co.,Private School,1804 Puget Dr,Everett,WA,98203,Everett School District,SNOHOMISH,P-12,68,65,3,1,2,0,0,3,2,2,2,2,2
8883,Archbishop Thomas J. Murphy High School,Private School,12911 39th Ave SE,Everett,WA,98208,Everett School District,SNOHOMISH,9-12,,,,,,,,,,,,,
1462,Calvary Christian Academy,Private School,3332 Colby Ave,Everett,WA,98201,Everett School District,SNOHOMISH,P-3,,,,,,,,,,,,,
8156,Everett Christian School,Private School,2221 Cedar St,Everett,WA,98201,Everett School District,SNOHOMISH,P-8,,,,,,,,,,,,,
8793,Forest Park Adventist School,Private School,4120 Federal Ave,Everett,WA,98203,Everett School District,SNOHOMISH,K-8,,,,,,,,,,,,,
8159,St. Mary Magdalen School,Private School,8615 7th Ave SE,Everett,WA,98208,Everett School District,SNOHOMISH,K+,374,372,2,0,2,0,0,1,1,1,1,2,1
3407,Cascade High School,Public School,801 E. Casino Rd.,Everett,WA,98203,Everett School District,SNOHOMISH,9-12,1827,0,50,2,43,5,0,39,39,32,29,25,2
4382,Cedar Wood Elementary,Public School,3414 168th St. SE,Bothell,WA,98012,Everett School District,SNOHOMISH,PK-5,586,560,26,5,21,0,0,17,17,17,17,19,20
3184,Emerson Elementary School,Public School,8702 7th Avenue SE,Everett,WA,98208,Everett School District,SNOHOMISH,PK-5,625,615,36,2,30,1,3,29,29,28,29,21,35
3253,Evergreen Middle School,Public School,7621 Beverly Ln.,Everett,WA,98203,Everett School District,SNOHOMISH,6-8,986,781,56,7,46,2,1,43,43,30,28,30,32
5091,Forest View Elementary School,Public School,5601 156th St. SE,Everett,WA,98208,Everett School District,SNOHOMISH,K -5,573,547,26,5,20,1,0,12,12,10,10,13,23
4437,Gateway Middle School,Public School,15404 Silver Firs Dr,Everett,WA,98208,Everett School District,SNOHOMISH,6-8,776,724,27,4,22,1,0,14,14,11,19,13,14
2883,Hawthorne Elementary School,Public School,1110 Poplar St.,Everett,WA,98201,Everett School District,SNOHOMISH,PK-5,454,420,11,5,6,0,0,7,7,7,7,2,9
4438,Henry M. Jackson High School,Public School,1508 136th St. SE,Everett,WA,98012,Everett School District,SNOHOMISH,9-12,2044,1962,67,6,55,6,0,47,47,36,37,36,10
2751,Jackson Elementary School,Public School,3700 Federal Ave,Everett,WA,98201,Everett School District,SNOHOMISH,K -5,370,366,17,3,14,0,0,11,11,12,12,10,12
3533,Jefferson Elementary,Public School,2500 Cadet Way,Everett,WA,98208,Everett School District,SNOHOMISH,K -5,555,524,31,3,27,1,0,19,19,22,20,18,27
2669,Madison Elementary,Public School,616 Pecks Dr,Everett,WA,98203,Everett School District,SNOHOMISH,PK-5,477,435,22,7,12,1,2,18,18,13,15,10,18
4316,Mill Creek Elementary,Public School,3400 148th St. SE,Everett,WA,98012,Everett School District,SNOHOMISH,PK-5,671,612,37,11,24,2,0,21,21,20,24,18,29
3686,Monroe Elementary,Public School,10901 27th Ave. SE,Everett,WA,98208,Everett School District,SNOHOMISH,PK-5,534,506,18,6,10,1,1,14,14,13,14,7,16
1907,Port Gardner,Public School,3516 Rucker,Everett,WA,98201,Everett School District,SNOHOMISH,K -12,128,95,33,2,29,2,0,20,20,18,20,17,14
4137,Sequoia High School,Public School,3516 Rucker,Everett,WA,98201,Everett School District,SNOHOMISH,9-12,284,253,15,0,15,0,0,11,11,5,6,5,3
4298,Silver Firs Elementary,Public School,5909 146th Pl. SE,Everett,WA,98208,Everett School District,SNOHOMISH,PK-5,564,537,26,6,20,0,0,16,16,18,12,14,34
2752,Whittier Elementary,Public School,916 Oakes Ave.,Everett,WA,98201,Everett School District,SNOHOMISH,PK-5,400,352,23,4,19,0,0,11,11,13,11,16,20
4125,Woodside Elementary,Public School,17000 23rd Ave. SE,Everett,WA,98012,Everett School District,SNOHOMISH,PK-5,721,0,35,2,30,0,3,23,23,21,23,16,33
3752,Eisenhower Middle School,Public School,10200 25th Ave. SE,Everett,WA,98208,Everett School District,SNOHOMISH,6-8,849,803,46,1,44,1,0,38,38,32,34,28,33
2126,Everett High School,Public School,2416 Colby Ave,Everett,WA,98201,Everett School District,SNOHOMISH,9-12,1504,1455,49,2,52,4,0,54,54,37,28,31,0
2065,Garfield Elementary School,Public School,2215 Pine Street,Everett,WA,98201,Everett School District,SNOHOMISH,PK-5,379,368,11,3,6,1,1,9,9,7,6,8,6
4334,Heatherwood Middle School,Public School,1419 Trillium Blvd. SE,Mill Creek,WA,98012,Everett School District,SNOHOMISH,6-8,884,770,67,6,36,4,1,54,54,23,24,22,25
2811,Lowell Elementary,Public School,5010 View Dr.,Everett,WA,98203,Everett School District,SNOHOMISH,PK-5,474,449,25,2,19,3,1,22,22,21,21,18,24
2364,North Middle School,Public School,2514 Rainier Ave.,Everett,WA,98201,Everett School District,SNOHOMISH,6-8,678,653,25,7,18,0,0,19,19,15,16,16,2
4530,Penny Creek Elementary,Public School,4117 132nd St. SE,Everett,WA,98208,Everett School District,SNOHOMISH,PK-5,683,659,24,3,17,2,2,16,16,16,18,13,22
2545,Silver Lake Elementary,Public School,12815 Bothell Way,Everett,WA,98208,Everett School District,SNOHOMISH,K -5,515,471,26,8,19,0,2,14,14,16,17,17,27
3002,View Ridge Elementary,Public School,202 Alder St.,Everett,WA,98203,Everett School District,SNOHOMISH,PK-5,542,479,49,4,41,2,2,29,29,33,31,33,37
8969,Cascadia School,Private School,10606 NE 14th St,Vancouver,WA,98664,Evergreen School District (Clark),CLARK,1-8,45,33,3,0,1,2,2,3,3,3,3,3,3
8683,Cornerstone Christian School,Private School,7708 NE 78th St,Vancouver,WA,98662,Evergreen School District (Clark),CLARK,K-8,287,271,16,0,12,4,0,16,16,16,16,16,16
800N,Seton Catholic College Preparatory High School,Private School,811 NE 112th Ave  #200,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,9-12,,,,,,,,,,,,,
801M,Slavic Christian Academy-Vancouver,Private School,15407 NE 84th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,P-8,,,,,,,,,,,,,
OICP31,Good Shepherd Montessori,Private School,805 SE 145th Ave,Vancouver,WA,98664,Evergreen School District (Clark),CLARK,PK-K,9,8,1,0,1,0,0,1,1,1,1,1,1
5310,HeLa High School,Public School,9105 NE 9TH ST,Vancouver,WA,98664,Evergreen School District (Clark),CLARK,9-12,302,76,12,0,11,1,0,10,10,11,12,9,0
1646,49th Street Academy,Public School,14619B NE 49th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -12,117,19,5,1,4,0,0,4,1,0,3,2,0
4299,Burnt Bridge Creek Elementary Sch,Public School,14619A NE 49th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -5,494,417,32,2,22,7,1,28,28,27,28,29,32
3736,Burton Elementary School,Public School,14015 NE 28th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -5,449,370,32,2,27,2,1,28,27,29,29,20,32
3785,Cascade Middle School,Public School,13900 NE 18th Street,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,6-8,931,347,55,1,48,6,0,45,43,39,41,37,11
4203,Clark County Skills Center,Public School,12200 NE 28th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,9-12,643,24,13,6,6,1,0,11,10,6,8,4,0
4587,Columbia Valley Elementary,Public School,17500 SE Sequoia Cr,Vancouver,WA,98683,Evergreen School District (Clark),CLARK,K -5,500,380,24,2,20,1,1,21,21,20,22,18,24
3320,Covington Middle School,Public School,11200 NE Rosewood Rd,Vancouver,WA,98662,Evergreen School District (Clark),CLARK,6-8,1119,477,59,4,51,3,1,52,52,43,47,49,17
3822,Crestline Elementary School,Public School,13003 SE Seventh Street,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,449,386,13,1,11,1,0,9,9,10,10,6,12
3148,Ellsworth Elementary School,Public School,512 SE Ellsworth Avenue,Vancouver,WA,98664,Evergreen School District (Clark),CLARK,K -5,438,318,16,1,15,0,0,14,14,15,14,13,16
5136,Endeavour Elementary School,Public School,2701 NE Four Seasons Lane,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,662,478,47,1,38,6,2,34,36,34,34,28,42
1926,Evergreen Flex Academy,Public School,13501 NE 28th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -12,107,42,13,2,10,0,2,10,10,10,12,7,10
2724,Evergreen High School,Public School,14300 NE 18th Street,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,9-12,1837,322,71,2,58,11,0,54,44,43,56,50,0
3971,Fircrest Elementary School,Public School,12001 NE Ninth Street,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,461,350,22,4,17,0,1,17,16,17,19,15,20
4499,Fishers Landing Elementary School,Public School,3800 SE Hiddenbrook Drive,Vancouver,WA,98683,Evergreen School District (Clark),CLARK,K -5,667,515,40,6,32,0,2,25,25,28,29,21,38
4498,Frontier Middle School,Public School,7600 NE 166th Avenue,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,6-8,876,413,45,6,29,10,0,37,36,39,40,32,15
