"school_year"	"school_code"	"school_name"	"school_type"	"school_city"	"school_state"	"school_zip"	"school_county"	"school_district"	"district_code"	"grade_levels"	"reported"	"enrolled"	"total_exemptions"	"medical_exempt"	"personal_exempt"	"religious_exempt"	"exempt_DTTd"	"exempt_pertussis"	"exempt_polio"	"exempt_MMR"	"exempt_hepB"	"exempt_varicella"	"percent_exempt_DTTd"	"percent_exempt_pertussis"	"percent_exempt_polio"	"percent_exempt_MMR"	"percent_exempt_hepB"	"percent_exempt_varicella"	"percent_exempt"
"52"	"2011"	"1566"	"Alternative Northeast Community Center Preschool"	"Public School"	"Spokane"	"WA"	"99207"	"SPOKANE"	"Spokane School District"	32081	"K-PK"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"2011"	"1621"	"Alternative School"	"Public School"	"Winthrop"	"WA"	"98862"	"OKANOGAN"	"Methow Valley School District"	24350	"9-12"	"Yes"	14	2	0	2	0	0	2	2	2	1	0	0	14.29	14.29	14.29	7.14	0	14.29
"54"	"2011"	"1514"	"Alternative Spcl Needs Div Occ"	"Public School"	"TACOMA"	"WA"	"98405"	"PIERCE"	"Tacoma School District"	27010	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"2011"	"1604"	"Alternative Tamarack School"	"Institution"	"Spokane"	"WA"	"99224"	"SPOKANE"	"Spokane School District"	32081	"7-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"2011"	"8343"	"Amazing Grace Christian School"	"Private School"	"Seattle"	"WA"	"98178"	"KING"	"Seattle Public Schools"	17001	"K-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"2011"	"2671"	"Amboy Middle School"	"Public School"	"Battle Ground"	"WA"	"98604"	"CLARK"	"Battle Ground School District"	6119	"5-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"2011"	"8472"	"American Academy"	"Private School"	"Mercer Island"	"WA"	"98040"	"KING"	"Mercer Island School District"	17400	"K-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"2011"	"5233"	"American Academy"	"Contract School"	"White Swan"	"WA"	"98952"	"YAKIMA"	"Mount Adams School District"	39209	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"2011"	"8654"	"America's Child Montessori"	"Private School"	"Bellevue"	"WA"	"98007"	"KING"	"Bellevue School District"	17405	"K-2"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61"	"2011"	"4418"	"Amistad Elementary School"	"Public School"	"KENNEWICK"	"WA"	"99336"	"BENTON"	"Kennewick School District"	3017	"K-5"	"Yes"	582	16	4	12	0	6	6	7	6	10	15	1.03	1.03	1.2	1.03	1.72	2.58	2.75
"62"	"2011"	"2467"	"Anacortes High School"	"Public School"	"Anacortes"	"WA"	"98221"	"SKAGIT"	"Anacortes School District"	29103	"9-12"	"Yes"	922	130	6	122	2	69	92	46	63	56	0	7.48	9.98	4.99	6.83	6.07	0	14.1
"63"	"2011"	"2707"	"Anacortes Middle School"	"Public School"	"Anacortes"	"WA"	"98221"	"SKAGIT"	"Anacortes School District"	29103	"7-8"	"Yes"	439	49	2	47	0	31	32	23	24	30	0	7.06	7.29	5.24	5.47	6.83	0	11.16
"64"	"2011"	"1978"	"Ancillary"	"Public School"	"Burien"	"WA"	"98166"	"KING"	"Highline School District"	17401	"K-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	"2011"	"2040"	"Anderson Island Elementary"	"Public School"	"Steilacoom"	"WA"	"98388"	"PIERCE"	"Steilacoom Hist. School District"	27001	"K-5"	"Yes"	22	3	0	3	0	1	2	1	1	0	1	4.55	9.09	4.55	4.55	0	4.55	13.64
"66"	"2011"	"4575"	"Angelo Giaudrone Middle School"	"Public School"	"Tacoma"	"WA"	"98408"	"PIERCE"	"Tacoma School District"	27010	"6-8"	"Yes"	620	11	0	9	2	6	6	4	4	7	0	0.97	0.97	0.65	0.65	1.13	0	1.77
"67"	"2011"	"8130"	"Annie Wright School"	"Private School"	"Tacoma"	"WA"	"98403"	"PIERCE"	"Tacoma School District"	27010	"K-12"	"Yes"	403	6	1	5	0	3	3	4	1	3	1	0.74	0.74	0.99	0.25	0.74	0.25	1.49
"68"	"2011"	"3746"	"Apollo Elementary"	"Public School"	"RENTON"	"WA"	"98059"	"KING"	"Issaquah School District"	17411	"K-5"	"Yes"	550	9	3	6	0	2	4	4	4	3	2	0.36	0.73	0.73	0.73	0.55	0.36	1.64
"69"	"2011"	"1829"	"Apolo High School"	"Public School"	"WINLOCK"	"WA"	"98596"	"LEWIS"	"Winlock School District"	21232	"6-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"70"	"2011"	"3699"	"Apple Valley Elementary"	"Public School"	"Yakima"	"WA"	"98908"	"YAKIMA"	"West Valley School District (Yakima)"	39208	"K-4"	"Yes"	315	8	3	5	0	1	2	1	4	1	5	0.32	0.63	0.32	1.27	0.32	1.59	2.54
"71"	"2011"	"801H"	"Applied Scholastics Academy of Seattle"	"Private School"	"Seattle"	"WA"	"98115"	"KING"	"Seattle Public Schools"	17001	"K-6"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	"2011"	"2730"	"Arbor Heights Elementary School"	"Public School"	"SEATTLE"	"WA"	"98146"	"KING"	"Seattle Public Schools"	17001	"K-5"	"Yes"	364	30	3	24	3	14	14	14	4	20	5	3.85	3.85	3.85	1.1	5.49	1.37	8.24
"73"	"2011"	"2173"	"Arcadia Elementary"	"Public School"	"Deer Park"	"WA"	"99006"	"SPOKANE"	"Deer Park School District"	32414	"3-5"	"Yes"	452	20	0	19	1	13	13	13	13	15	10	2.88	2.88	2.88	2.88	3.32	2.21	4.42
"74"	"2011"	"8883"	"Archbishop Thomas J. Murphy High School"	"Private School"	"Everett"	"WA"	"98208"	"SNOHOMISH"	"Everett School District"	31002	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"2011"	"3633"	"Ardmore Elementary School"	"Public School"	"Bellevue"	"WA"	"98008"	"KING"	"Bellevue School District"	17405	"K-5"	"Yes"	342	19	8	10	1	1	1	1	1	2	6	0.29	0.29	0.29	0.29	0.58	1.75	5.56
"76"	"2011"	"2940"	"Arlington"	"Public School"	"Tacoma"	"WA"	"98409"	"PIERCE"	"Tacoma School District"	27010	"K-5"	"Yes"	249	7	1	3	3	5	5	5	6	5	5	2.01	2.01	2.01	2.41	2.01	2.01	2.81
"77"	"2011"	"8371"	"Arlington Christian School"	"Private School"	"Arlington"	"WA"	"98223"	"SNOHOMISH"	"Lakewood School District"	31306	"K-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	"2011"	"2381"	"Arlington Elementary"	"Public School"	"Spokane"	"WA"	"99217"	"SPOKANE"	"Spokane School District"	32081	"K-6"	"Yes"	519	36	3	33	0	17	17	19	9	21	10	3.28	3.28	3.66	1.73	4.05	1.93	6.94
"79"	"2011"	"2523"	"Arlington High School"	"Public School"	"Arlington"	"WA"	"98223"	"SNOHOMISH"	"Arlington School District"	31016	"9-12"	"Yes"	1570	125	7	111	7	54	81	53	63	81	0	3.44	5.16	3.38	4.01	5.16	0	7.96
"80"	"2011"	"2277"	"Arlington Special Educ School"	"Public School"	"Arlington"	"WA"	"98223"	"SNOHOMISH"	"Arlington School District"	31016	"K-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	"2011"	"3641"	"Armin Jahr Elementary"	"Public School"	"Bremerton"	"WA"	"98310"	"KITSAP"	"Bremerton School District"	18100	"K-5"	"Yes"	409	13	2	11	0	8	10	10	11	9	8	1.96	2.44	2.44	2.69	2.2	1.96	3.18
"82"	"2011"	"3107"	"Arrowhead Elementary"	"Public School"	"Kenmore"	"WA"	"98028"	"KING"	"Northshore School District"	17417	"K-6"	"Yes"	337	29	6	21	2	17	17	18	25	18	12	5.04	5.04	5.34	7.42	5.34	3.56	8.61
"83"	"2011"	"5082"	"Arthur Jacobsen Elementary"	"Public School"	"Auburn"	"WA"	"98092"	"KING"	"Auburn School District"	17408	"K-5"	"Yes"	439	10	1	8	1	6	6	7	6	3	9	1.37	1.37	1.59	1.37	0.68	2.05	2.28
"84"	"2011"	"3299"	"Artondale Elementary School"	"Public School"	"Gig Harbor"	"WA"	"98335"	"PIERCE"	"Peninsula School District"	27401	"K-5"	"Yes"	453	30	0	30	0	17	17	19	15	19	29	3.75	3.75	4.19	3.31	4.19	6.4	6.62
"85"	"2011"	"5102"	"Arts & Academics Academy"	"Public School"	"Seattle"	"WA"	"98146"	"KING"	"Highline School District"	17401	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	"2011"	"3070"	"Artz Fox Elementary"	"Public School"	"Mabton"	"WA"	"98935"	"YAKIMA"	"Mabton School District"	39120	"K-6"	"Yes"	934	3	2	1	0	1	1	0	2	0	0	0.11	0.11	0	0.21	0	0	0.32
"87"	"2011"	"2507"	"Asotin Elementary"	"Public School"	"ASOTIN"	"WA"	"99402"	"ASOTIN"	"Asotin-Anatone School District"	2420	"K-6"	"Yes"	604	21	2	19	0	14	14	10	12	9	10	2.32	2.32	1.66	1.99	1.49	1.66	3.48
"88"	"2011"	"2434"	"Asotin Jr Sr High"	"Public School"	"ASOTIN"	"WA"	"99402"	"ASOTIN"	"Asotin-Anatone School District"	2420	"7-12"	"Yes"	604	21	2	19	0	14	14	10	12	9	10	2.32	2.32	1.66	1.99	1.49	1.66	3.48
"89"	"2011"	"5168"	"Aspire Middle School"	"Public School"	"Lacey"	"WA"	"98513"	"THURSTON"	"North Thurston Public Schools"	34003	"6-8"	"Yes"	296	16	0	16	0	11	13	7	7	7	0	3.72	4.39	2.36	2.36	2.36	0	5.41
"90"	"2011"	"8215"	"Assumption Catholic School"	"Private School"	"Bellingham"	"WA"	"98225"	"WHATCOM"	"Bellingham School District"	37501	"K-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	"2011"	"8212"	"Assumption Grade School"	"Private School"	"Walla Walla"	"WA"	"99362"	"WALLA WALLA"	"Walla Walla Public Schools"	36140	"K-8"	"Yes"	224	8	0	8	0	8	8	8	8	8	8	3.57	3.57	3.57	3.57	3.57	3.57	3.57
"92"	"2011"	"8175"	"Assumption School"	"Private School"	"Spokane"	"WA"	"99208"	"SPOKANE"	"Spokane School District"	32081	"K-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	"2011"	"8028"	"Assumption St. Bridget"	"Private School"	"Seattle"	"WA"	"98115"	"KING"	"Seattle Public Schools"	17001	"K-8"	"Yes"	516	7	0	7	0	7	7	7	7	7	7	1.36	1.36	1.36	1.36	1.36	1.36	1.36
"94"	"2011"	"8096"	"Auburn Adventist Academy"	"Private School"	"Auburn"	"WA"	"98002"	"KING"	"Auburn School District"	17408	"9-12"	"Yes"	246	16	0	16	0	15	15	15	16	15	16	6.1	6.1	6.1	6.5	6.1	6.5	6.5
"95"	"2011"	"800C"	"Auburn Gateway School"	"Private School"	"Auburn"	"WA"	"98002"	"KING"	"Auburn School District"	17408	"K-7"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"2011"	"5037"	"Auburn Mountainview High School"	"Public School"	"Auburn"	"WA"	"98092"	"KING"	"Auburn School District"	17408	"9-12"	"Yes"	1500	82	11	63	8	13	42	32	49	54	0	0.87	2.8	2.13	3.27	3.6	0	5.47
"97"	"2011"	"4474"	"Auburn Riverside High School"	"Public School"	"AUBURN"	"WA"	"98092"	"KING"	"Auburn School District"	17408	"9-12"	"Yes"	1666	59	9	45	5	20	41	34	44	37	0	1.2	2.46	2.04	2.64	2.22	0	3.54
