School Code	School Name	School Type	School District	County	Reported?	Data Source	Grade Levels	K-12 Number Enrolled	K-12 Number Complete	K-12 Number Exempt	K-12 Number Exempt: Medical	K-12 Number Exempt: Personal	K-12 Number Exempt: Religious	K-12 Number Exempt: Religious Member	K-12 Number Exempt: D/T	K-12 Number Exempt: Pertussis	K-12 Number Exempt: Polio	K-12 Number Exempt: MMR	K-12 Number Exempt: Hep B	K-12 Number Exempt: Varicella
4340	Merit School	Public	Federal Way School District	KING	Yes	IIS	6-12	14	11	0	0	0	0	0	0	0	0	0	0	0
5193	Montesano Learning Academy	Public	Montesano School District	GRAYS HARBOR	Yes	IIS	7-13	14	11	2	0	2	0	0	2	2	0	0	0	0
8858	Countryside Montessori School	Private	Lake Washington School District	KING	Yes	IIS	P-3	14	13	1	0	1	0	0	1	1	1	1	1	1
800R	Rising Tide School	Private	Olympia School District	THURSTON	Yes	IIS	K-12	14	3	11	0	11	0	0	10	10	11	11	11	11
1709	Chewelah Alternative	Public	Chewelah School District	STEVENS	Yes	Paper	8-12	14	11	3	1	2	0	0	2	2	1	3	1	0
OICP19	Little Folks Christian School	Private	Bellevue School District	KING	Yes	Paper	K-1	14	6	0	0	0	0	0	0	0	0	0	0	0
4286	Sacred Heart Hospital	Public	Spokane School District	SPOKANE	Yes	XLS Spokane	3-12	14	13	1	0	1	0	0	1	1	1	0	0	0
5108	Lincoln Academy	Public	Stanwood-Camano School District	SNOHOMISH	Yes	XLSCSV	6-8	14	10	2	0	2	1	0	2	2	2	2	2	0
8337	Dartmoor School--Issaquah	Private	Issaquah School District	KING	Yes	eFile	1-12	15	15	0	0	0	0	0	0	0	0	0	0	0
1749	Alliance Academy	Public	Bremerton School District	KITSAP	Yes	IIS	K -8	15	13	2	0	2	0	0	0	0	1	1	2	0
1437	TLC Academy	Private	Lake Washington School District	KING	Yes	IIS	P-3	16	16	0	0	0	0	0	0	0	0	0	0	0
8643	St. John of Kronstadt Orthodox Christian School	Private	Yakima School District	YAKIMA	Yes	IIS	K-8	16	13	0	0	0	3	0	0	0	0	2	3	0
